Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
updated,5,5,0.025,7.4024091500E+00,4.3808932000E-01,-1.1444692000E-01,-2.2613427900E+00,-5.1976700000E-03,6.7979000000E-04,4.7528444400E+00,2.5607120000E-01,8.8698282000E-01,-9.2308233000E-01
updated,1,5,0.05,9.4795687700E+00,1.3925306000E-01,-1.6861826000E-01,-2.6077992200E+00,-7.2099900000E-03,9.8928000000E-04,1.1132822440E+01,1.7085293000E-01,1.0733979600E+00,-6.3969171000E-01
updated,2,5,0.05,5.3032060700E+00,2.2645848000E-01,-1.5535235000E-01,-1.6576833400E+00,-6.7376600000E-03,9.2582000000E-04,1.3491844100E+00,4.1164456000E-01,6.7560380000E-01,-1.2787897300E+00
updated,3,5,0.05,5.8421516400E+00,2.4704432000E-01,-1.4614143000E-01,-1.7056060500E+00,-6.8139700000E-03,9.5221000000E-04,1.8002981700E+00,3.7064087000E-01,5.6048940000E-01,-1.1078748300E+00
updated,4,5,0.05,6.8146914700E+00,2.3275187000E-01,-1.4905781000E-01,-1.8286914200E+00,-6.7736700000E-03,9.1588000000E-04,2.7261786500E+00,3.1458348000E-01,7.8731076000E-01,-1.2636994100E+00
updated,5,5,0.05,5.8555248700E+00,3.7578892000E-01,-1.2378526000E-01,-1.7121934100E+00,-5.0299700000E-03,6.3569000000E-04,2.2269807100E+00,3.3501386000E-01,4.7530322000E-01,-1.0562963000E+00
updated,1,5,0.075,7.3797165500E+00,1.2738918000E-01,-1.5793488000E-01,-2.0787293800E+00,-7.4983200000E-03,1.0954800000E-03,7.7922604200E+00,1.9074087000E-01,6.2280529000E-01,-7.7798593000E-01
updated,2,5,0.075,5.5372520100E+00,2.1487917000E-01,-1.5073844000E-01,-1.6524640100E+00,-6.7934700000E-03,9.6976000000E-04,1.3847168000E+00,3.9900762000E-01,5.1351540000E-01,-1.1600036600E+00
updated,3,5,0.075,5.8212930700E+00,2.0589304000E-01,-1.5079213000E-01,-1.5892323800E+00,-6.7692700000E-03,9.5364000000E-04,1.2724092900E+00,4.0668017000E-01,3.5014979000E-01,-9.7760340000E-01
updated,4,5,0.075,7.1856797000E+00,1.8068883000E-01,-1.5620227000E-01,-1.7883355800E+00,-6.7909300000E-03,9.0176000000E-04,4.3768493400E+00,2.4309433000E-01,6.2020548000E-01,-1.0238026100E+00
updated,5,5,0.075,5.8766919700E+00,3.5659285000E-01,-1.3289055000E-01,-1.6690537000E+00,-4.5632700000E-03,5.3725000000E-04,2.0579576300E+00,3.4637014000E-01,5.1109505000E-01,-9.8769309000E-01
updated,1,5,0.1,6.3504987100E+00,1.0796927000E-01,-1.5306058000E-01,-1.7950446500E+00,-8.0322200000E-03,1.1666200000E-03,6.2003267200E+00,1.9977825000E-01,4.3191478000E-01,-8.0178413000E-01
updated,2,5,0.1,5.6675550600E+00,1.7733407000E-01,-1.5497229000E-01,-1.5765308500E+00,-7.0278800000E-03,9.7595000000E-04,1.4407280100E+00,3.8652104000E-01,3.2593432000E-01,-9.5059760000E-01
updated,3,5,0.1,5.9585612200E+00,1.6901497000E-01,-1.5709249000E-01,-1.5350407400E+00,-6.8856100000E-03,9.3915000000E-04,1.2603776200E+00,4.0308238000E-01,2.8792925000E-01,-8.5896590000E-01
updated,4,5,0.1,6.6928582800E+00,1.4166735000E-01,-1.6150735000E-01,-1.5842096600E+00,-7.0635600000E-03,9.0225000000E-04,3.1982550100E+00,2.7394947000E-01,4.0122662000E-01,-8.3510748000E-01
